task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
67	d3/1ece57	349223	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (77_T)	COMPLETED	0	2026-07-01 09:15:42.242	37m 35s	37m 24s	557.1%	10.1 GB	59.1 GB	590.5 GB	1.7 GB
76	43/6dd65d	349234	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (26_T)	COMPLETED	0	2026-07-01 09:51:22.392	5m 5s	4m 52s	428.2%	9.8 GB	61.6 GB	37.3 GB	1019.1 MB
79	8d/e514f2	349235	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (2_M)	COMPLETED	0	2026-07-01 09:53:17.374	5m 50s	5m 41s	500.1%	7 GB	42.2 GB	73.2 GB	1.1 GB
74	bd/49b155	349229	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (84_T)	COMPLETED	0	2026-07-01 09:44:22.358	15m 10s	15m 2s	491.5%	7.9 GB	59.3 GB	200.6 GB	1.2 GB
73	01/b69675	349230	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (88_T)	COMPLETED	0	2026-07-01 09:45:17.368	16m 20s	16m 11s	426.9%	9.8 GB	63.3 GB	210.1 GB	1.2 GB
78	8f/f2f32b	349236	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (52_M)	COMPLETED	0	2026-07-01 09:56:28.295	5m 59s	5m 42s	532.7%	8.2 GB	49.9 GB	75.1 GB	1.1 GB
77	23/0d323c	349233	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (66_M)	COMPLETED	0	2026-07-01 09:50:57.402	13m	12m 51s	529.4%	7.6 GB	48.9 GB	203.2 GB	1.2 GB
80	33/507d60	349237	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (6_M)	COMPLETED	0	2026-07-01 09:59:07.395	6m 20s	6m 11s	443.7%	8.1 GB	60.3 GB	58.9 GB	1 GB
82	de/05cec2	349239	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (5_T)	COMPLETED	0	2026-07-01 10:01:37.421	5m 20s	5m 7s	384.3%	12.8 GB	82.1 GB	32.8 GB	1008.6 MB
83	b9/bbcca8	349240	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (14_T)	COMPLETED	0	2026-07-01 10:02:27.411	4m 45s	4m 35s	408.9%	10.2 GB	78.6 GB	39.3 GB	1016.8 MB
